module,type,name,res_id,src,value,comments
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_active,Active,Active,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_active,Active,Active,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_amount,Amount,Import,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_form,Amount,Import,
analytic,model,"ir.model,name",analytic.model_account_analytic_account,Analytic Account,Analytic Account,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_name,Analytic Account,Analytic Account,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_account_id,Analytic Account,Analytic Account,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_form,Analytic Account,Analytic Account,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_search,Analytic Account,Analytic Account,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_filter,Analytic Account,Analytic Account,
analytic,model,"res.groups,name",analytic.group_analytic_accounting,Analytic Accounting,Analytic Accounting,
analytic,model,"ir.actions.act_window,name",analytic.action_account_analytic_account_form,Analytic Accounts,Analytic Accounts,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_list,Analytic Accounts,Analytic Accounts,
analytic,model,"ir.actions.act_window,name",analytic.account_analytic_tag_action,Analytic Accounts Tags,Analytic Accounts Tags,
analytic,model,"ir.ui.view,arch_db",analytic.account_analytic_tag_form_view,Analytic Accounts Tags,Analytic Accounts Tags,
analytic,model,"ir.ui.view,arch_db",analytic.account_analytic_tag_tree_view,Analytic Accounts Tags,Analytic Accounts Tags,
analytic,model,"ir.actions.act_window,name",analytic.account_analytic_line_action_entries,Analytic Entries,Analytic Entries,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_graph,Analytic Entries,Analytic Entries,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_pivot,Analytic Entries,Analytic Entries,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_tree,Analytic Entries,Analytic Entries,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_line_form,Analytic Entry,Analytic Entry,
analytic,model,"ir.model,name",analytic.model_account_analytic_line,Analytic Line,Analytic Line,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_line_ids,Analytic Lines,Analytic Lines,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_name,Analytic Tag,Analytic Tag,
analytic,model,"ir.model,name",analytic.model_account_analytic_tag,Analytic Tags,Analytic Tags,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_search,Archived,Archived,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_search,Associated Partner,Associated Partner,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_balance,Balance,Balance,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_kanban,Balance:,Balance:,
analytic,model,"ir.actions.act_window,name",analytic.action_analytic_account_form,Chart of Analytic Accounts,Chart of Analytic Accounts,
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_tag_action,Click to add a new tag.,Click to add a new tag.,
analytic,model,"ir.actions.act_window,help",analytic.action_analytic_account_form,Click to add an analytic account.,Click to add an analytic account.,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_color,Color Index,Color Index,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_company_id,Company,Company,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_company_id,Company,Company,
analytic,model,"ir.ui.view,arch_db",analytic.view_account_analytic_account_form,Cost/Revenue,Cost/Revenue,
analytic,model,"ir.actions.act_window,name",analytic.account_analytic_line_action,Costs & Revenues,Costs & Revenues,
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_line_action,"Costs will be created automatically when you register supplier
                invoices, expenses or timesheets.","Costs will be created automatically when you register supplier
                invoices, expenses or timesheets.",
analytic,model,"ir.actions.act_window,help",analytic.account_analytic_line_action_entries,"Costs will be created automatically when you register supplier
                invoices, expenses or timesheets.","Costs will be created automatically when you register supplier
                invoices, expenses or timesheets.",
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_create_uid,Created by,Created by,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_create_uid,Created by,Created by,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_tag_create_uid,Created by,Created by,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_account_create_date,Created on,Created on,
analytic,model,"ir.model.fields,field_description",analytic.field_account_analytic_line_create_date,Created on,Created on,
